source_database	sample_name	analysis_name
BV-BRC	Staphylococcus aureus AUH_SA_2023_6	AUH_SA_2023
BV-BRC	Staphylococcus aureus KWT 2020-26218	KWT_2020
BV-BRC	Staphylococcus aureus IPD029-1	IPD029-1
BV-BRC	Staphylococcus aureus H2_22S00635-1	H2_22S00635
BV-BRC	Staphylococcus aureus 614E	614E
BV-BRC	Staphylococcus aureus sa230502_barcode25	sa230502_barcode25
BV-BRC	Staphylococcus aureus IL-064N	IL-064N
BV-BRC	Staphylococcus aureus PD005	PD005
BV-BRC	Staphylococcus aureus 0617SA27	0617SA27
BV-BRC	Staphylococcus aureus 2018	2018
BV-BRC	Staphylococcus aureus 9_1a	9_1a
BV-BRC	Staphylococcus aureus MRSA_MG10	MRSA_MG10
BV-BRC	Staphylococcus aureus JARB-OU3000	JARB_OU3000
